layer,sae_index,graph_count,occurrence_count,avg_influence,avg_activation,neuronpedia_label,label_fetch_error,semantic_category,annotator
6,558,5,5,0.775456,7.258579,phrases indicating a comparison and mathematical notations.,,,
9,7011,5,5,0.774518,8.489513, common prepositional phrases,,,
0,1548,5,5,0.762838,2.864397," uses of the word ""than"" and the prepositional words ""for"", ""as"", and ""from"".",,,
3,1931,5,5,0.753792,6.151778, statements of fact linked to importance or findings,,,
5,10903,5,5,0.748657,5.62652," legal wording related to accusations, correspondence, or information provided to others",,,
13,2249,5,8,0.746069,10.736337," noun phrases ending in ""-ists"", and also seems to have some other unrelated triggers.",,,
5,15819,5,8,0.742346,7.308961, technical writing about technology standards and mathematical theorems,,,
3,12478,5,5,0.741593,3.313118," words or phrases suggesting a lack of jurisdiction or failure (""without"")",,,
7,11973,5,5,0.73901,6.990788," mentions of tech companies and products, especially in the mobile device market",,,
6,2539,5,5,0.735638,7.957063, words and phrases associated with political opinions or debates.,,,
4,1489,5,5,0.735415,5.494072," a wide variety of words that sometimes seem related, but don't have a clear common context",,,
6,5451,5,8,0.733007,7.207643,opinionated political discussions,,,
4,2221,5,5,0.732914,5.706113," words and phrases that describe qualities or attributes, often with an emotional or evaluative tone",,,
6,4742,5,5,0.729486,5.985522, words that define the meaning of concepts in a mathematical or general context,,,
4,4849,5,6,0.729403,4.685522," hyphenated words that end with the term ""host"", start with the term ""to"", or relate to analog to digital computing",,,
1,3135,5,5,0.726952,3.712162,terms used across a wide range of technical documentation,,,
6,2267,5,20,0.722497,14.778773,"words that appear in programming code, legal jargon, or scientific texts",,,
14,8179,5,5,0.719027,12.1155,"phrases with lots of function words (articles, prepositions, etc) strung together.",,,
4,1312,5,5,0.716567,8.880349, sentences that describe something,,,
0,15038,5,6,0.715756,3.53923,locations and organizations,,,
22,14727,5,6,0.714862,110.840662,snippets from different kinds of documents,,,
12,2416,5,5,0.714695,16.97381,"words related to making choices to improve oneself, work performance, shopping, definitions, spending/budgets",,,
3,3976,5,6,0.711274,4.16813, a variety of seemingly unrelated words,,,
3,8907,5,5,0.704291,4.297965," uses of the word ""since.""",,,
4,14729,5,8,0.700944,7.51828," scientific discourse relating to biology, disease and chemistry",,,
